,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
1479,SL-8 DEB,7785.0,0.08387925497752087,56.07
1501,SCOUT B R/B,8156.5,0.07840372708882487,69.23
1503,THOR ABLESTAR DEB,7487.0,0.006678242286630159,89.93
1505,SECOR 5 (EGRS 5),8156.0,0.07871505640019617,69.23
1507,THOR ABLESTAR R/B,7502.0,0.0039989336177019465,90.15
1509,DODECAPOLE 2,7257.0,0.0033071517155849523,90.05
1510,THOR ABLESTAR DEB,7509.5,0.006991144550236367,89.97
1511,TEMPSAT 1,7511.5,0.006856153897357386,89.96
1513,OPS 8464 (TRANSIT 5B-7),7505.0,0.007195203197868088,89.95
1514,NAVSPASUR ROD 1,7449.5,0.0055708436807839455,89.99
1519,CALSPHERE 4A,7502.0,0.007064782724606772,89.94
1520,THOR ABLESTAR DEB,7512.5,0.006855241264559068,89.99
1521,THOR ABLESTAR DEB,7510.5,0.007123360628453498,90.1
1528,DELTA 1 DEB,7190.5,0.0035463458730269105,99.07
1548,SL-8 DEB,7785.5,0.08470875345192987,56.17
1569,COSMOS 80,7831.0,0.010088111352317712,56.06
1570,COSMOS 81,7847.5,0.008728894552405225,56.06
1571,COSMOS 82,7863.0,0.007630675314765357,56.06
1572,COSMOS 83,7880.5,0.00666201383160967,56.05
1573,COSMOS 84,7897.5,0.00652105096549541,56.05
1574,SL-8 R/B,7813.0,0.009727377447843338,56.13
1575,VANGUARD DEB,8164.0,0.14073983341499266,34.23
1576,PORCUPINE 2,7502.0,0.007198080511863503,90.0
1579,OPS 8068,7173.5,0.023210427267024464,98.35
1582,THOR ALTAIR R/B,7067.0,0.014857789726899674,98.47
1583,COSMOS 86,7834.5,0.021379794498691686,56.06
1584,COSMOS 87,7853.0,0.02011969947790653,56.06
1585,COSMOS 88,7870.5,0.018994981259132203,56.06
1586,COSMOS 89,7889.0,0.016732158701990112,56.06
1587,COSMOS 90,7907.5,0.015618084097375909,56.05
1588,SL-8 R/B,7914.0,0.01579479403588577,56.05
1589,SL-8 DEB,7844.5,0.01752820447447256,56.09
1590,SL-8 DEB,7873.0,0.01511494982852788,56.06
1607,THOR ABLESTAR DEB,7326.0,0.0017745017745017745,89.75
1612,OV1-2,7669.5,0.11663081035269575,144.23
1615,ATLAS D R/B,7540.0,0.10172413793103448,144.23
