,OBJECT_NAME,SEMIAXIS,ECCENTRICITY,INCLINATION
5677,OPS 7898 (P/L 1),7363.0,0.0010865136493277197,69.99
5679,OPS 7898 (P/L 2),7360.5,0.0010189525168127166,69.99
5680,OPS 7898 (P/L 3),7361.5,0.0010188141003871494,69.99
5681,OPS 7898 (P/L 4),7361.5,0.0010188141003871494,69.99
5682,COSMOS 465,7362.0,0.0027166530834012497,74.03
5704,COSMOS 468,7148.5,0.0014688396167028047,74.02
5708,INTELSAT 4-F3,42346.5,0.0009563954518082958,7.9
5720,COSMOS 469,7356.0,0.0028548123980424145,64.49
5728,AUREOLE 1,7305.0,0.07433264887063655,73.95
5730,METEOR 1-10,7231.5,0.002419968194703727,81.26
5774,INTELSAT 4-F4,42291.0,0.00028374831524437824,8.21
5845,COSMOS 475,7355.0,0.002175390890550646,74.05
5850,OPS 1570 (DSP 3),42303.0,0.0008982814457603479,1.23
5902,OPS 5058 (DMSP 5B F2),7186.5,0.005218117303276978,99.09
5904,COSMOS 480,7563.0,0.0018511172815020495,82.98
5916,METEOR 1-11,7240.5,0.002969408190042124,81.23
6018,COSMOS 489,7356.0,0.0024469820554649264,74.02
6051,INTELSAT 4-F5,42202.5,0.00048575321367217583,7.26
6058,COSMOS 494,7149.5,0.0009091544863277152,74.05
6072,COSMOS 482 DESCENT CRAFT,6968.5,0.0584774341680419,51.99
6078,METEOR 1-12,7260.0,0.0012396694214876034,81.23
6116,COSMOS 504,7786.5,0.011237398060746162,74.03
6117,COSMOS 505,7801.5,0.009164904185092611,74.03
6118,COSMOS 506,7816.5,0.007356233608392503,74.03
6119,COSMOS 507,7831.5,0.005299112558258315,74.03
6120,COSMOS 508,7847.0,0.0034408054033388557,74.03
6121,COSMOS 509,7863.5,0.0015896229414382908,74.03
6122,COSMOS 510,7880.0,0.0008883248730964467,74.03
6123,COSMOS 511,7898.0,0.003165358318561661,74.03
6125,LANDSAT 1 (ERTS 1),7279.5,0.000892918469675115,99.38
6147,COSMOS 514,7335.0,0.0010906612133606,82.97
6152,OAO 3 (COPERNICUS),7074.0,0.0007068136839129206,35.01
6153,COSMOS 516,7350.0,0.008979591836734694,64.81
6172,TRIAD 1,7099.5,0.005141207127262484,89.99
6191,COSMOS 520,26491.0,0.4671775319919973,71.86
6196,EXPLORER 47 (IMP-7),226288.5,0.3600646961732479,25.03
6205,COSMOS 521,7368.5,0.0014249847323064397,65.83
6216,OPS 8180 (STP RADSAT),7042.0,0.0009940357852882703,98.57
6234,NOAA 2 (ITOS-D),7829.0,0.00038319070123898327,102.02
6235,OSCAR 6 (AO-6),7829.0,0.00038319070123898327,102.02
6255,METEOR 1-13,7240.0,0.0030386740331491712,81.27
6261,COSMOS 528,7794.5,0.0064789274488421325,74.03
6263,COSMOS 529,7812.5,0.00416,74.03
6264,COSMOS 530,7778.0,0.008742607354075598,74.03
6265,COSMOS 531,7822.5,0.003004154682007031,74.03
6266,COSMOS 532,7761.0,0.010694498131684061,74.03
6267,COSMOS 533,7769.5,0.00971748503764721,74.04
6268,COSMOS 534,7785.5,0.007642412176481921,74.04
6269,COSMOS 535,7804.0,0.005509994874423373,74.04
6274,OPS 7323 (DMSP 5B F3),7173.0,0.0034852920674752546,98.48
6277,ANIK A1 (TELESAT 1),42573.5,0.001655959693236403,7.7
6304,NIMBUS 5,7471.5,0.0007361306297262932,99.85
6316,OPS 9390,42187.0,0.12733780548510204,10.45
6318,COSMOS 539,7738.0,0.002455414835874903,74.02
6322,COSMOS 540,7146.5,0.0018890365913384174,74.08
6349,COSMOS 546,6866.5,0.0015291633292070196,50.63
6379,OPS 6063,42165.5,0.002454613368749333,1.94
6391,METEOR 1-14,7244.5,0.005452412174753261,81.24
6436,ANIK A2 (TELESAT 2),42295.5,0.0007684032580298141,8.38
6658,METEOR 1-15,7236.0,0.002763957987838585,81.19
6674,COSMOS 564,7815.0,0.0055022392834293025,74.02
6675,COSMOS 565,7847.0,0.0025487447432139673,74.02
6676,COSMOS 566,7835.5,0.0032544189904919916,74.02
6677,COSMOS 567,7825.5,0.004536451344961983,74.02
6678,COSMOS 568,7805.5,0.0068541413106143105,74.02
6679,COSMOS 569,7796.5,0.007888154941319824,74.02
6680,COSMOS 570,7786.5,0.009182559558209721,74.02
6681,COSMOS 571,7776.5,0.010351700636533144,74.02
6690,OPS 6157 (DSP 4),42292.0,0.0006384186134493522,2.37
6706,COSMOS 574,7369.0,0.002171257972587868,82.95
6786,OPS 8364 (DMSP 5B F4),7159.5,0.0027236538864445843,98.65
6790,OPS 7724,26553.5,0.7141996346997571,62.05
6795,INTELSAT 4-F7,42484.0,0.0006826099237359947,8.68
6821,OPS 8314 (2),7819.0,0.0030694462207443408,95.64
6824,COSMOS 585,7767.0,0.0018024977468778164,74.02
6827,COSMOS 586,7359.0,0.0028536485935589076,82.94
6844,COSMOS 588,7848.5,0.002866789832452061,74.0
6845,COSMOS 589,7829.0,0.004598288414867799,74.0
6846,COSMOS 590,7838.0,0.003444756315386578,74.0
6847,COSMOS 591,7793.5,0.008917687816770386,74.0
6848,COSMOS 592,7785.0,0.009890815671162493,74.0
6849,COSMOS 593,7802.0,0.007690335811330428,74.0
6850,COSMOS 594,7810.5,0.006721720760514692,74.0
6851,COSMOS 595,7819.5,0.005563015538077882,74.0
6892,EXPLORER 50 (IMP-8),222781.0,0.22578227048087585,14.71
6908,NNSS 20 (TRANSIT 20),7373.5,0.015392961280260391,89.83
6915,COSMOS 606,26574.5,0.5214585410826168,72.17
6919,NOAA 3,7883.0,0.0006342762907522517,102.28
6937,OPS 6630 (2),7812.5,0.002624,96.94
6964,COSMOS 614,7137.5,0.002311733800350263,74.05
6972,OPS 9433 (DSCS 2-3),42914.5,0.003320555989234408,6.72
6973,OPS 9434 (DSCS 2-4),42954.0,0.006402197699864972,6.29
6984,COSMOS 617,7786.5,0.009696269183843833,74.03
6985,COSMOS 618,7843.0,0.002805049088359046,74.03
6986,COSMOS 619,7833.0,0.004085280224690412,74.03
6987,COSMOS 620,7854.0,0.0021645021645021645,74.03
6988,COSMOS 621,7823.0,0.004985299757126422,74.03
6989,COSMOS 622,7804.5,0.0073675443654302,74.03
6990,COSMOS 623,7813.5,0.006335189095795738,74.03
6991,COSMOS 624,7795.5,0.008530562504008722,74.03
7002,AUREOLE 2,6902.0,0.025644740654882644,73.91
7004,COSMOS 626,7322.5,0.006213724820757938,65.44
7007,COSMOS 627,7366.5,0.0030543677458766036,82.96
